AAAA,232,740,889
AAAB,860,597,655
AAAC,915,433,290
AAAD,632,295,622
AAAE,47,995,206
AAAF,607,347,718
AAAG,28,66,927
AAAH,87,332,526
AAAI,246,543,781
AAAJ,522,932,147
AAAK,417,280,598
AAAL,36,63,323
AAAM,98,170,371
AAAN,39,709,641
AAAO,174,62,407
AAAP,463,202,870
AAAQ,598,23,900
AAAR,453,58,106
AAAS,999,867,615
AAAT,26,322,464
AAAU,99,571,326
AAAV,450,578,74
AAAW,57,301,522
AAAX,562,241,913
AAAY,826,444,983
AAAZ,578,234,811
AABA,451,250,956
AABB,142,513,972
AABC,648,615,470
1

AABE,228,423,273
AABF,445,628,535
AABG,385,874,300
AABH,400,518,61
AABI,231,118,98
AABJ,891,33,839
AABK,507,113,490
AABL,600,90,979
AABM,653,461,864
AABN,263,824,329
AABO,942,244,958
AABP,511,565,994
AABQ,771,314,57
AABR,44,813,412
AABS,384,523,893
AABT,406,604,94
AABU,336,144,245
AABV,379,270,215
AABW,634,800,208
AABX,897,746,536
AABY,970,565,217
AABZ,858,862,313
AACA,327,840,493
AACB,51,778,427
AACC,280,333,367
AACD,795,38,727
AACE,873,286,657
AACF,232,622,75
AACG,967,610,384
AACH,30,858,604
AACI,848,505,7
AACJ,919,411,733
AACK,151,816,910
AACL,778,757,405
AACM,702,566,585
AACN,345,704,161
AACO,1,562,547
AACP,551,695,928
AACQ,945,904,604
AACR,927,117,341
AACS,36,538,737
AACT,181,426,98
AACU,303,780,537
AACV,769,639,894
AACW,60,175,416
AACX,740,893,25
AACY,137,424,765
AACZ,524,755,169
AADA,673,619,6
AADB,740,992,128
AADC,360,191,715
AADD,178,987,17
AADE,39,805,860
AADF,566,754,520
AADG,586,190,503
AADH,50,56,335
AADI,631,892,674
AADJ,685,696,800
AADK,661,520,332
AADL,935,246,511
AADM,741,254,846
AADN,538,911,351
AADO,936,928,588
AADP,101,367,276
AADQ,266,226,1
AADR,893,453,578
AADS,315,995,984
AADT,965,666,726
AADU,334,523,273
AADV,719,778,81
AADW,221,204,624
AADX,725,835,18
AADY,202,469,378
AADZ,340,63,762
AAEA,403,674,551
AAEB,51,307,966
AAEC,932,378,618
AAED,563,831,958
AAEE,75,888,563
AAEF,194,221,706
AAEG,597,586,969
AAEH,582,99,166
AAEI,102,146,672
AAEJ,640,372,163
AAEK,389,800,400
AAEL,755,295,640
