key	ID	item1	item2	item3	
  0.002171        645             1.976592           907.064026            76.716423;
  0.005117        221             5.364147           604.717163           856.403320;
  0.007836         53             1.488296           100.765007           160.978027;
  0.007927        681             6.371258           803.179016            29.687399;
  0.008767        952             4.387555           272.095917           419.988617;
  0.011306        866             9.423109           592.479248           586.161926;
  0.011802         26            15.007996           821.490112           970.542542;
  0.012002        408            12.047701           426.550110           908.559448;
  0.012031        536            11.589923           635.052551           724.288696;
  0.015703        629            12.932737           256.012665           782.670593;
  0.016018        249            15.099551           292.817993           895.924744;
  0.017013        704            16.442366           340.609985           904.286865;
  0.017211        245            13.878811           775.285095           221.343643;
  0.020139        867            10.918515           370.212921           395.940033;
  0.020175        323             9.453628           440.436005           159.665726;
  0.020597        609            20.745476           742.904968           679.823181;
  0.020999        110            17.998810           505.715118           691.816956;
  0.022177        532            23.644733           609.905273           874.165100;
  0.022829        649            22.454512           672.193604           717.727173;
  0.023236        175            22.393475           858.997375           436.346527;
  0.023901        345            21.447401           888.142578           126.308998;
  0.023950        468            21.844143           102.046783           906.087463;
  0.026356        724            28.954954           805.528931           746.506165;
  0.027268         42            26.605030           528.390381           819.781067;
  0.027486        529            19.890957             6.462813           723.373108;
  0.028110         78            20.653919           504.616455           533.670044;
  0.028668        191            28.130955           954.367737           226.501266;
  0.029215        610            38.293617           981.376587           868.061401;
  0.030084         98            18.242958           367.435730           482.063263;
  0.031310        258            42.016876           906.148499           988.945190;
  0.031586        657            35.669025           577.128418           969.993164;
  0.033742        848            23.583696           518.471863           468.146820;
  0.037904        327            33.990509           841.418701           308.260345;
  0.041573        838            51.080875           942.160339           787.034729;
  0.043641        411            35.791100           794.786438           199.065125;
  0.043807        314            27.062807           203.978607           582.499695;
  0.044246        404            27.215399           518.075134           330.447296;
  0.045594        799            21.661032           315.035461           354.953674;
  0.050092        719            46.655689             3.258370           930.227600;
  0.056098        716            45.526505           568.583252           577.281006;
  0.057490        967            54.865170           676.801880           670.606628;
  0.059404        897            51.935390           541.726929           684.248413;
  0.060133        315            64.081757           600.078369           878.315613;
  0.060315        496            26.543993           301.881989           319.124939;
  0.061643        785            52.576283           800.645996           289.247314;
  0.063547        802            47.388134           398.228912           628.704712;
  0.064040        428            46.594654           681.257568           251.190735;
  0.064492        892            23.034365            71.314644           349.216187;
  0.066412        564            53.217171           632.275391           489.387695;
  0.067381        579            88.954346           970.176331           890.889221;
  0.067873        130            74.641167           803.819885           746.780823;
  0.069895        782            55.261909           449.225342           648.267090;
  0.071037        290            58.405315           503.578827           647.290466;
  0.074339         54            41.345470           462.745056           305.757843;
  0.076490         58            33.197029           430.639587            42.505173;
  0.077073        791            93.867821           975.486511           723.128967;
  0.077090        794            40.460434            88.252419           515.786194;
  0.077175        553            83.003235           988.517944           415.563446;
  0.079088        816            62.708427           674.970764           411.290833;
  0.079986        141            56.360577           556.589478           428.411713;
  0.080538        966            73.023682           327.090271           842.486877;
  0.082942         82            80.348122           765.763306           587.870911;
  0.084064        304           101.680565           831.317078           872.700195;
  0.085479        525            24.468733           218.078156           183.805878;
  0.086550        684            87.153755           983.573914           197.447647;
  0.087002        776            43.786949           169.126465           471.992157;
  0.090094        923            40.094212           310.427155           316.347748;
  0.090895        458            42.962952           163.297440           441.473633;
  0.092228        808            85.139534           616.405762           681.898438;
  0.092870        189            76.899536           496.590088           658.124573;
  0.094459        286            74.397018           755.051331           211.425125;
  0.094615        723           114.925598           925.192017           778.611633;
  0.096491        664           106.624557           838.336365           711.959167;
  0.099785        856            87.367378           655.896667           573.374634;
  0.100232        982           132.901001           995.048889           866.199768;
  0.103184        260            31.365917           231.018005           195.067200;
  0.103403        641            64.905762           462.226227           419.683441;
  0.105428        667            87.916718           590.129333           582.591248;
  0.105736        263            96.095673           573.923950           698.103821;
