key	ID	item1	item2	item3	
  1.000000       1000           827.105530           812.578735           421.239868;
  2.000000        999           301.729401           835.284485           326.327301;
  3.000000        998           228.118744           948.111450           361.087891;
  4.000000        997           356.021820           311.739471           196.684677;
  5.000000        996            64.325905            57.550797           298.708069;
  6.000000        995           384.922852           780.778442           879.231140;
  6.000000        994           477.485474           247.467484             6.127110;
  6.000000        993           734.603943           404.515747           722.976379;
  6.000000        992           600.902344           513.649902           496.620605;
 10.000000        991           801.744629           371.860931           962.424622;
 11.000000        990           515.877747           695.875916           686.995056;
 12.000000        989           463.691132           353.641388           112.880859;
 13.000000        988           779.893372           748.917114            19.219551;
 14.000000        987           913.900146           899.709045            73.054199;
 15.000000        986           240.234589           938.009827           963.096008;
 16.000000        985           883.839417           580.393921           273.957550;
 17.000000        984           864.490723           516.060913           481.025635;
 18.000000        983           760.300537           100.673454           942.770691;
 19.000000        982           132.901001           995.048889           866.199768;
 20.000000        981           114.132118           584.300293           636.822632;
 21.000000        980           275.422424           915.853333           991.386658;
 22.000000        979           277.955475           868.397095           277.253540;
 23.000000        978           417.852325           671.155945            55.414501;
 24.000000        977           461.890533            89.503677           590.922791;
 25.000000        976           658.063538            70.246498           509.865631;
 26.000000        975           111.049744           201.354019           787.217834;
 27.000000        974           343.692352           579.417297           115.047668;
 28.000000        973           404.332611           474.403107            71.101013;
 29.000000        972           498.482208           149.411514           141.110474;
 30.000000        971           601.512695           606.700867           853.351440;
 31.000000        970           562.510071           880.329834           713.485107;
 32.000000        969           986.503723           953.024902           887.898376;
 33.000000        968           507.271545            95.302193           337.771759;
 34.000000        967            54.865170           676.801880           670.606628;
 35.000000        966            73.023682           327.090271           842.486877;
 36.000000        965           978.782532           477.271851           895.802673;
 36.000000        964           489.418213           887.043884           480.506836;
 36.000000        963           875.721497            59.046204           214.202301;
 36.000000        962           697.157715           711.440369           854.999451;
 40.000000        961           638.043396           828.784058           593.425293;
 41.000000        960           919.424011           690.474182           803.606262;
 42.000000        959           665.326904           536.874512           871.906677;
 43.000000        958           558.268005           303.224792           520.882813;
 44.000000        957           416.112762           868.549683           248.718735;
 45.000000        956           940.146118           736.618164           135.037292;
 46.000000        955           876.576050           440.497040            85.871971;
 47.000000        954           530.404602           378.361359           818.651917;
 48.000000        953           458.960754           413.915436           143.551956;
 49.000000        952             4.387555           272.095917           419.988617;
 50.000000        951           118.984558           106.990784           848.376953;
 51.000000        950           126.766777           428.076019           682.478333;
 52.000000        949           240.967041           711.104675            31.091249;
 53.000000        948           877.644165           425.817657           495.888153;
 54.000000        947           707.839172           607.707947           394.230988;
 55.000000        946           796.495483           143.521439           422.857361;
